organism,seedid,kingdom,phylum,class,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,phenotype,imgid,ncbiid,platform,species,file,taxa_id,id,summary_rank,kbaseid
,,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,,Negative,,,,,,,,,,,,Fusobacterium.json,,Fusobacterium,genus,
,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales Incertae Sedis XI,Gemella,Facultative anaerobe,"Saccharolytic, fermentative",Positive,,,,,Laura Kutt,,,645058834,,,,Gemella.json,,Gemella,genus,
Geobacillus stearothermophilus ATCC 7953,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Aerobe,"Saccharolytic, non-fermentative",Variable,,800,1414,1082,,,,,937593,Kbase,stearothermophilus,Geobacillus.json,1422,Geobacillus,genus,kb|g.241233
,,Bacteria,Actinobacteria,Actinobacteria,,Gordoniaceae,Gordonia,Obligate aerobe,Saccharolytic,Positive,,,,,,,,,,,,Gordonia.json,,Gordonia,genus,
"Gordonibacter pamelaeae 7-10-1-bT, DSM 19378",Gordonibacter pamelaeae 7-10-1-b (657308.3),Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Gordonibacter,Nanaerobe,"Few carbon sources used, fermentation capabilities undescribed",Positive,Commensal,622,958,795,Ines Thiele,04/20/12,5,650377943,471189,Kbase,pamelaeae,Gordonibacter.json,471189,Gordonibacter,genus,
,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Commensal,,,,Laura Kutt,,,,,,,Granulicatella.json,,Granulicatella,genus,
Grimontia hollisae CIP 101886,Grimontia hollisae CIP 101886 (675812.3),Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Grimontia,Facultative anaerobe,"Fermentative, respiratory",Negative,,950,1492,1093,Laura Kutt,04/19/16,,647000258,675812,ModelSEED,hollisae,Grimontia.json,673,Grimontia,genus,kb|g.2925
,,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,,,Negative,Commensal,,,,Laura Kutt,,,,,ModelSEED,,Haemophilus.json,,Haemophilus,genus,
,Hafnia alvei ATCC 51873 (1002364.3),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Hafnia,Facultative anaerobe,"Fermentative, respiratory",Negative,Opportunistic pathogen,,,,Laura Kutt,,,,,ModelSEED,alvei,Hafnia.json,569,Hafnia,genus,
Halococcus morrhuae DSM1307,,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus,Aerobe,Saccharolytic,Negative,,646,1131,958,Laura Kutt,04/19/16,,2531839093,931277,Kbase,morrhuae,Halococcus.json,2250,Halococcus,genus,kb|g.224181
,,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Microaerophile,,Negative,Opportunistic pathogen,,,,,,,,,,,Helicobacter.json,,Helicobacter,genus,
Eubacterium biforme DSM 3989,Eubacterium biforme DSM 3989 (518637.5),Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,547,1585,1100,Ines Thiele,09/06/12,1,642979360,518637,Kbase,biforme,Holdemanella.json,,Holdemanella,genus,
"Holdemania filiformis VPI J1-31B-1, DSM 12042",Holdemania filiformis DSM 12042 (545696.5),Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,721,1744,1113,Ines Thiele,09/06/12,3,643886103,61171,ModelSEED,filiformis,Holdemania.json,61171,Holdemania,genus,
,Clostridium hathewayi 12489931 (999412.4),Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hungatella,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,,,,Laura Kutt,,,2534682211,,,hathewayi,Hungatella.json,154046,Hungatella,genus,
Clostridium bartlettii DSM 16795,Clostridium bartlettii DSM 16795 (445973.7),Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter,Obligate anaerobe,Ferments carbohydrates and amino acids,Positive,Commensal,682,1381,1023,Ines Thiele,04/20/12,5,641736113,445973,ModelSEED,bartlettii,Intestinibacter.json,261299,Intestinibacter,genus,
Kallipyga massiliensis ph2,,Bacteria,Firmicutes,Tissierellia,unclassified Tissierellia,unclassified Tissierellia,Kallipyga,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,425,1002,816,Laura Kutt,04/18/16,,2547132195,1118059,Kbase,massiliensis,Kallipyga.json,1472764,Kallipyga,genus,kb|g.206992
Kandleria vitulina DSM 20405,,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Kandleria,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,587,1195,926,Laura Kutt,04/18/16,,,1410657,Kbase,vitulina,Kandleria.json,1630,Kandleria,genus,kb|g.241318
Kingella oralis ATCC 51147,Kingella oralis ATCC 51147 (629741.3),Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,Facultative anaerobe,"Saccharolytic, fermentative",Negative,Commensal,596,1106,899,Laura Kutt,04/18/16,,,629741,Kbase,oralis,Kingella.json,505,Kingella,genus,kb|g.2656
,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Facultative anaerobe,,Negative,,,,,,,,,,Kbase,,Klebsiella.json,,Klebsiella,genus,kb|g.23273
Kluyvera ascorbata  ATCC 33433,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kluyvera,Facultative anaerobe,"Fermentative, respiratory",Negative,,1241,1782,1227,Laura Kutt,04/18/16,,2588253795,1006000,Kbase,ascorbata,Kluyvera.json,51288,Kluyvera,genus,kb|g.241367
,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,Obligate aerobe,,Positive,Commensal,,,,chenry,04/15/16,,,,,,Kocuria.json,,Kocuria,genus,
Kurthia massiliensis  JC30,,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia,Aerobe,"Saccharolytic, respiratory",Positive,,789,1444,1090,Laura Kutt,04/18/16,,2547132137,1033739,ModelSEED,massiliensis,Kurthia.json,1033739,Kurthia,genus,kb|g.23348
Kytococcus sedentarius DSM 20547,Kytococcus sedentarius DSM 20547 (478801.4),Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Kytococcus,Obligate aerobe,Respiratory,Positive,Commensal,653,1198,945,chenry,04/15/16,,644736380,478801,Kbase,sedentarius,Kytococcus.json,1276,Kytococcus,genus,kb|g.1725
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,,,,,,,,,,,,,ModelSEED,,Lachnoclostridium.json,,Lachnoclostridium,genus,
Lachnospira multipara ATCC 19207,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,554,1163,931,Laura Kutt,04/19/16,,,1282887,Kbase,multipara,Lachnospira.json,28051,Lachnospira,genus,kb|g.209041
,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Facultative anaerobe,,Positive,,,,,,,,,,,,Lactobacillus.json,,Lactobacillus,genus,
,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,,,,Laura Kutt,04/18/16,,,,Kbase,,Lactococcus.json,,Lactococcus,genus,
Laribacter hongkongensis HLHK9,Laribacter hongkongensis HLHK9 (557598.3),Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Laribacter,Facultative anaerobe,"Asaccharolytic, nonfermentative",Negative,Pathogen,751,1266,987,Eugen Bauer,08/03/14,2,643692026,557598,Kbase,hongkongensis,Laribacter.json,168471,Laribacter,genus,
Lautropia mirabilis ATCC 51599,Lautropia mirabilis ATCC 51599 (887898.3),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,Facultative anaerobe,"Non-fermentative, asaccharolytic",Negative,,784,1297,1025,Laura Kutt,04/18/16,,,887898,Kbase,mirabilis,Lautropia.json,47671,Lautropia,genus,kb|g.3587
Leminorella grimontii ATCC 33999 = DSM 5078,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Leminorella,Facultative anaerobe,Fermentative,Negative,,947,1453,1092,Laura Kutt,04/18/16,,,1005999,Kbase,grimontii,Leminorella.json,82981,Leminorella,genus,kb|g.206563
Leptotrichia buccalis C-1013-b,Leptotrichia buccalis C-1013-b (523794.5),Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Facultative anaerobe,"Saccharolytic, fermentative",Negative,,655,1251,959,Laura Kutt,04/18/16,,644736384,523794,Kbase,buccalis,Leptotrichia.json,40542,Leptotrichia,genus,kb|g.1972
,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Facultative anaerobe,,,,,,,,,,,,,,Leuconostoc.json,,Leuconostoc,genus,
,,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,,,,,,,,,,,Listeria.json,,Listeria,genus,
,,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,,,,,,,,Laura Kutt,,,,,Kbase,,Lysinibacillus.json,,Lysinibacillus,genus,
"Marvinbryantia formatexigens I-52, DSM 14469",Bryantella formatexigens DSM 14469 (478749.5),Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,Obligate anaerobe,"Saccharolytic, fermentative, hydrogen used as energy source",Positive,Commensal,798,1996,1258,Ines Thiele,04/20/12,1,2562617090,168384,Kbase,formatexigens,Marvinbryantia.json,168384,Marvinbryantia,genus,
,,Bacteria,Firmicutes,Negativicutes,Selenomonadales,,Megamonas,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,,,,,,,,,,,Megamonas.json,,Megamonas,genus,kb|g.27486
Megasphaera elsdenii DSM 20460,,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,Obligate anaerobe,"Saccharolytic, fermentative, lactate fermented to propionate",Negative,Commensal,649,1206,947,chenry,09/10/14,,2511231071,1064535,ModelSEED,elsdenii,Megasphaera.json,907,Megasphaera,genus,
Mesorhizobium loti MAFF303099,Mesorhizobium loti MAFF303099 (266835.9),Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Aerobe,Respiratory,Negative,,1440,1680,1212,,,,,266835,ModelSEED,loti,Mesorhizobium.json,381,Mesorhizobium,genus,kb|g.571
,,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Obligate anaerobe,,Positive,,,,,,,,,,Kbase,,Methanobrevibacter.json,,Methanobrevibacter,genus,kb|g.224117
Methanomassiliicoccus luminyensis B10,,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Obligate anaerobe,Utilizes methanol,Positive,,493,1001,831,Laura Kutt,04/19/16,,2518645582,1175296,Kbase,luminyensis,Methanomassiliicoccus.json,1080712,Methanomassiliicoccus,genus,kb|g.223963
Methanosphaera stadtmanae DSM 3091,Methanosphaera stadtmanae DSM 3091 (339860.6),Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Obligate anaerobe,Uses methanol and hydrogen as energy sources and carbon dioxide and acetate as carbon sources,Positive,Commensal,329,823,716,chenry,09/10/14,,637000163,339860,Kbase,stadtmanae,Methanosphaera.json,2317,Methanosphaera,genus,
,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Aerobe,Respiratory,Negative,,,,,Laura Kutt,04/18/16,,,,,,Methylobacterium.json,,Methylobacterium,genus,
,Methyloversatilis universalis FAM5 (1000565.3),Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Methyloversatilis,Anaerobe,Fermentative,Negative,Pathogen,,,,Laura Kutt,,,,,,universalis,Methyloversatilis.json,378211,Methyloversatilis,genus,
Torulaspora_delbrueckii,Torulaspora_delbrueckii_gca_000243375,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,,,,Probiotic,,,,,,,,,,,Torulaspora.json,,Torulaspora,genus,
Lachancea_thermotolerans_CBS_6340_GCF,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,,Fermentative,,Probiotic,,,,,,,,,,,Lachancea.json,,Lachancea,genus,
Kluyveromyces_marxianus_dmku3_1042_gca_001417885,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Aerobe,Respiro-fermentative,,Probiotic,,,,,,,,,,,Kluyveromyces.json,,Kluyveromyces,genus,
Debaryomyces_hansenii_CBS767_GCF,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Debaryomyces,Aerobe,Non-fermentative,,Probiotic,,,,,,,,,,,Debaryomyces.json,,Debaryomyces,genus,
Wickerhamomyces_anomalus_NRRL_Y-937,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Facultative aerobe,,,Probiotic,,,,,,,,,,,Wickerhamomyces.json,,Wickerhamomyces,genus,
Candida_orthopsilosis_co_90_125_gca,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Facultative aerobe,,,Probiotic,,,,,,,,,,,Candida.json,,Candida,genus,
ICS1,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikovia,Aerobe,,,Probiotic,,,,,,,,,,,Metschnikovia.json,,Metschnikovia,genus,
Saccharomyces cerevisae S288C (17oct2023),,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Aerobe,,,,,,,,,,,,,,Saccharomyces.json,,Saccharomyces,genus,
,,Bacteria,Actinobacteria,Actinobacteria,,Microbacteriaceae,Microbacterium,,,Positive,,,,,chenry,04/15/16,,,,ModelSEED,,Microbacterium.json,,Microbacterium,genus,
Micrococcus luteus NCTC 2665,Micrococcus luteus NCTC 2665 (465515.4),Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,Obligate aerobe,"Saccharolytic, respiratory",Positive,Opportunistic pathogen,686,1194,951,chenry,04/15/16,,644736390,465515,Kbase,luteus,Micrococcus.json,1270,Micrococcus,genus,kb|g.1629
Micromonospora aurantiaca ATCC 27029,Micromonospora aurantiaca ATCC 27029 (644283.3),Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,Microaerophile,Saccharolytic,Positive,Pathogen,1188,1469,1101,chenry,04/15/16,,648028042,644283,Kbase,aurantiaca,Micromonospora.json,47850,Micromonospora,genus,kb|g.2745
,,Bacteria,Firmicutes,Negativicutes,Selenomonadales,,Mitsuokella,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,,,,,,,,,Kbase,,Mitsuokella.json,,Mitsuokella,genus,kb|g.241944
Mobiluncus curtisii ATCC 43063,Mobiluncus curtisii ATCC 43063 (548479.6),Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Obligate anaerobe,"Saccharolytic, fermentative",Negative,Opportunistic pathogen,562,1088,862,chenry,04/15/16,,648028043,548479,ModelSEED,curtisii,Mobiluncus.json,2051,Mobiluncus,genus,kb|g.2215
Mogibacterium timidum ATCC 33093,,Bacteria,Firmicutes,Clostridia,Clostriadiales,Family XIII Incertae Sedis,Mogibacterium,Obligate anaerobe,Asaccharolytic,Positive,,419,955,800,,,,,1401079,ModelSEED,timidum,Mogibacterium.json,35519,Mogibacterium,genus,kb|g.212219
Moraxella catarrhalis RH4,Moraxella catarrhalis RH4 (749219.3),Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Aerobe,Respiratory,Negative,,611,1175,950,Laura Kutt,04/18/16,,646564552,749219,Kbase,catarrhalis,Moraxella.json,480,Moraxella,genus,kb|g.3162
Morganella morganii subsp. morganii KT,Morganella morganii subsp. morganii KT (1124991.3),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella,Facultative anaerobe,"Fermentative, respiratory",Negative,,1070,1577,1132,Laura Kutt,04/18/16,,,1124991,Kbase,morganii,Morganella.json,582,Morganella,genus,kb|g.24411
,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Microaerophile,,Positive,,,,,chenry,04/15/16,,,,Kbase,,Mycobacterium.json,,Mycobacterium,genus,
,,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Obligate anaerobe,,Negative due to the absence of a cell wall,Pathogen,,,,chenry,,,,,Kbase,,Mycoplasma.json,,Mycoplasma,genus,
,,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,,,Negative,,,,,Laura Kutt,04/18/16,,,,,,Neisseria.json,,Neisseria,genus,
Nevskia ramosa DSM 11499,,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Nevskia,Anaerobe,Fermentative,Negative,,898,1430,1099,Laura Kutt,04/19/16,,2523231050,1122603,ModelSEED,ramosa,Nevskia.json,64002,Nevskia,genus,kb|g.207204
Candidatus Nitrososphaera gargensis Ga9.2,,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Aerobe,"Oxidation of ammonia, inorganic carbon",Uncharacterized,,434,1016,877,Laura Kutt,04/19/16,,,1237085,ModelSEED,Nitrososphaera,Nitrososphaera.json,,Nitrososphaera,genus,kb|g.238840
Oceanobacillus picturae strain S1,,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Aerobe,"Respiratory, non fermentative",Positive,,922,1450,1093,Laura Kutt,04/19/16,,2617271105,333381,ModelSEED,picturae,Oceanobacillus.json,171693,Oceanobacillus,genus,kb|g.242144
,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,,,Negative,,,,,Laura Kutt,04/18/16,,640753038,,ModelSEED,,Ochrobactrum.json,,Ochrobactrum,genus,
,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Odoribacter,Obligate anaerobe,,Negative,Commensal,,,,,,,,,ModelSEED,,Odoribacter.json,,Odoribacter,genus,kb|g.27487
,,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Olsenella,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,,,,chenry,04/15/16,,,,ModelSEED,,Olsenella.json,,Olsenella,genus,
Oribacterium sinus F0268,Oribacterium sinus F0268 (585501.3),Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,595,1164,896,Laura Kutt,04/18/16,,,585501,ModelSEED,sinus,Oribacterium.json,237576,Oribacterium,genus,kb|g.2530
,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Obligate anaerobe,"Asaccharolytic, uses oxalate as sole energy source",Negative,Probiotic,,,,Ines Thiele,06/25/12,,,,ModelSEED,formigenes,Oxalobacter.json,847,Oxalobacter,genus,
,,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,,,,,,,Laura Kutt,04/18/16,,,,,,Paenibacillus.json,,Paenibacillus,genus,
Clostridium sordellii ATCC 9714,,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paeniclostridium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,1303,1274,994,Laura Kutt,04/18/16,,2563367177,1292036,ModelSEED,sordellii,Paeniclostridium.json,1505,Paeniclostridium,genus,kb|g.209151
Pantoea agglomerans IG1,Pantoea agglomerans IG1 (1110694.4),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,Facultative anaerobe,"fermentative, respiratory",Negative,,1229,1757,1207,,,,,1110694,Kbase,agglomerans,Pantoea.json,549,Pantoea,genus,kb|g.24285
,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,,,,,Parabacteroides.json,,Parabacteroides,genus,
Clostridium bifermentans ATCC 19299,,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paraclostridium,Obligate anaerobe,"Saccharolytic, fermentative, proteolytic",Positive,,767,1256,974,Laura Kutt,04/18/16,,,1233170,ModelSEED,bifermentans,Paraclostridium.json,1490,Paraclostridium,genus,kb|g.208271
Paracoccus yeei ATCC BAA-599,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Aerobe,Respiratory,Negative,Pathogen,1140,1525,1140,Laura Kutt,04/19/16,,,1446473,Kbase,yeei,Paracoccus.json,147645,Paracoccus,genus,kb|g.242186
,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,,,,Laura Kutt,04/17/16,,,,Kbase,,Paraprevotella.json,,Paraprevotella,genus,
Parasutterella excrementihominis YIT 11859,Parasutterella excrementihominis YIT 11859 (762966.3),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Suterellaceae,Parasutterella,Facultative anaerobe,"Fermentative, respiratory",Negative,,651,1080,912,Laura Kutt,04/19/16,,651324084,762966,ModelSEED,excrementihominis,Parasutterella.json,487175,Parasutterella,genus,kb|g.3277
Parvimonas micra ATCC 33270,Parvimonas micra ATCC 33270 (411465.10),Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Parvimonas,Obligate anaerobe,"Asaccharolytic, proteolytic, fermentative",Positive,Commensal,375,726,636,Ines Thiele,06/25/12,4,641380421,411465,ModelSEED,micra,Parvimonas.json,33033,Parvimonas,genus,
,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,,,Positive,Commensal,,,,,,,,,ModelSEED,,Pediococcus.json,,Pediococcus,genus,
,,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Obligate anaerobe,,Positive,,,,,Laura Kutt,04/18/16,,,,,,Peptoniphilus.json,,Peptoniphilus,genus,
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,,,,Laura Kutt,04/18/16,,,,,,Peptostreptococcus.json,,Peptostreptococcus,genus,
Phascolarctobacterium succinatutens YIT 12067,Phascolarctobacterium sp. YIT 12067 (626939.3),Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,Obligate anaerobe,"Asaccharolytic, ferments only succinate",Negative,Commensal,560,1019,833,Ines Thiele,06/29/12,3,649989983,626939,ModelSEED,succinatutens,Phascolarctobacterium.json,626940,Phascolarctobacterium,genus,
Plesiomonas shigelloides 302-73,Plesiomonas shigelloides 302-73 (1315976.3),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,Aerobe,Respiratory,Negative,,981,1558,1123,Laura Kutt,04/18/16,,,1315976,ModelSEED,shigelloides,Plesiomonas.json,703,Plesiomonas,genus,kb|g.31988
,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Obligate anaerobe,,Negative,,,,,,,,,,,,Porphyromonas.json,,Porphyromonas,genus,
,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Nanaerobe,,Negative,,,,,,,,,,,,Prevotella.json,,Prevotella,genus,
,,Bacteria,Actinobacteria,Actinobacteria,,Propionibacteriaceae,Propionibacterium,,"Saccharolytic, fermentative",Positive,,,,,,,,,,,,Propionibacterium.json,,Propionibacterium,genus,
,Proteus mirabilis ATCC 29906 (525369.4),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,Facultative anaerobe,,Negative,,,,,,,,,,ModelSEED,,Proteus.json,,Proteus,genus,
,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,Facultative anaerobe,"Fermentative or respiratory, various carbohydrates and amino acids used",Negative,Pathogen,,,,Ines Thiele,06/25/12,,,,,,Providencia.json,,Providencia,genus,
Pseudobutyrivibrio ruminis AD2017,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Pseudobutyrivibrio,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,622,1176,941,Laura Kutt,04/18/16,,,1280694,Kbase,ruminis,Pseudobutyrivibrio.json,46206,Pseudobutyrivibrio,genus,kb|g.208698
Pseudoflavonifractor capillosus strain ATCC 29799,Bacteroides capillosus ATCC 29799 (411467.6),Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,Pseudoflavonifractor,Obligate anaerobe,"Asaccharolytic, some carbohydrates may be weakly fermented",Negative,Commensal,679,1638,1193,Ines Thiele,04/20/12,3,640963014,411467,Kbase,capillosus,Pseudoflavonifractor.json,106588,Pseudoflavonifractor,genus,
,,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Aerobe,,Negative,Opportunistic pathogen,,,,,,1,,,,,Pseudomonas.json,,Pseudomonas,genus,
Pseudoramibacter alactolyticus ATCC 23263,Pseudoramibacter alactolyticus ATCC 23263 (887929.3),Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Pseudoramibacter,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,731,1117,924,Laura Kutt,04/18/16,,,887929,Kbase,alactolyticus,Pseudoramibacter.json,113287,Pseudoramibacter,genus,kb|g.3589
Pyramidobacter piscolens W5455,Pyramidobacter piscolens W5455 (352165.3),Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Pyramidobacter,Obligate anaerobe,"Asaccharolytic, fermentative",Negative,,693,1164,931,Laura Kutt,04/19/16,,647000302,352165,Kbase,piscolens,Pyramidobacter.json,638849,Pyramidobacter,genus,kb|g.1034
Ralstonia sp. 5_7_47FAA,Ralstonia sp. 5_7_47FAA (658664.3),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Aerobe,"Strictly aerobic, respiratory",Negative,Commensal,1137,1485,1065,Ines Thiele,06/29/12,1,649989994,658664,ModelSEED,,Ralstonia.json,48736,Ralstonia,genus,
